a_voltage_V,b_max_voltage_V,c_current_A,d_resistance_mOhm,e_welding_energy_Ws,f_force_one_N,g_force_two_N,h_movement_one_um,i_movement_two_um,j_welding_time_ms,k_wear,machine_nr,time
1.432272,2.1000476,3624.2104,398.89188,3311.928,179.92796,189.40257,423.98215,410.37991,802.56238,0,0,57
1.4545658,2.0012739,3785.6853,474.41425,3311.9229,169.41058,186.19579,432.52399,413.56937,874.49127,0,1,58
1.4086537,2.0735583,3536.5674,461.81137,3311.9285,185.84563,170.66063,430.44522,418.18668,779.99188,0,0,59
1.2935971,2.1831059,3743.4761,446.65659,3311.8438,186.17665,177.57988,412.52402,427.53232,752.87219,0,0,60
1.5880989,2.1632867,3727.4504,498.89209,3311.9858,178.57469,186.85832,421.12872,421.14719,773.40125,0,1,61
1.3957813,2.1814101,3803.9546,475.87341,3311.835,197.24428,184.84055,416.32278,414.9325,837.70001,0,1,62
1.6708547,2.2368505,3680.6499,463.7373,3312.0022,181.02664,182.46898,400.379,441.8576,789.06989,0,1,63
1.5675168,2.3018498,3770.2126,478.71545,3312.197,188.37625,194.263,408.12347,396.81601,751.90912,0,1,64
1.8628778,2.0235229,3548.8945,455.0798,3312.1565,191.18167,202.41223,417.46945,406.24161,738.04626,0,0,65
1.5994933,2.1779761,3688.8738,410.64453,3312.239,190.23489,189.6971,418.20514,423.47568,815.16632,0,0,66
1.9133399,2.4243379,3581.2864,414.03799,3312.0959,185.62456,188.39378,419.86578,421.80655,873.12561,0,1,67
1.6277186,2.0043838,3489.573,478.89893,3312.5286,198.32104,191.84836,416.45972,420.2016,810.93829,0,1,68
1.6546282,2.2111974,3666.2019,377.45743,3312.4016,192.17191,187.6828,416.68976,441.41138,836.43829,0,1,69
1.5958351,2.3185155,3709.2947,491.99295,3311.9453,174.10002,185.81218,431.47598,447.99054,791.41693,0,1,70
1.2982161,2.2842379,3777.5779,430.89783,3311.8704,183.79906,175.25011,410.16589,418.99396,777.54645,0,1,71
1.090688,2.2968214,3856.3203,493.8548,3311.8086,187.96306,189.09081,421.22495,410.02307,816.30792,0,0,72
1.558069,2.3575728,3569.0479,445.82141,3311.7571,179.25894,175.07501,432.13654,403.91776,742.71936,0,0,73
1.3814833,2.1671357,3532.6013,486.25278,3311.7236,178.55267,182.11684,430.13416,408.43314,800.74976,0,1,74
1.6296912,2.2915797,3621.6658,488.89191,3311.9805,198.77655,179.43216,437.91159,443.54184,819.60358,0,1,75
1.4914101,2.2202575,3529.9609,432.8703,3311.8718,179.14803,179.40469,418.12,415.20749,771.67676,0,0,76
1.7836422,2.1884608,3647.2375,462.44095,3312.1238,174.95865,194.22728,422.97235,419.53433,941.17139,0,1,77
1.1416198,2.3485627,3533.7639,471.50311,3312.4688,190.03853,185.34505,443.62277,438.64575,734.51532,0,1,78
1.5469418,2.0391262,3692.0745,433.60901,3312.3684,185.81107,184.0723,437.93616,401.28879,800.56079,0,1,79
1.4703088,1.9992924,3752.9768,382.54895,3312.0193,191.08839,174.12431,433.82925,427.55826,856.80725,0,1,80
1.6035504,2.0756738,3603.3628,455.06036,3311.8264,183.00896,197.50002,428.64377,436.95322,829.79016,0,1,81
1.8220927,2.5169814,3723.3582,471.16394,3311.7537,186.16431,197.70294,415.39362,417.88297,753.53131,0,0,82
1.3719016,2.0543017,3820.343,470.29474,3311.9053,183.71938,186.08965,417.13113,447.62082,776.72778,0,1,83
1.1606735,1.963732,3603.6348,398.36734,3311.8687,191.00095,180.89276,419.27686,421.07437,782.85712,0,1,84
1.4863509,2.2574663,3673.6216,449.60397,3311.9084,171.38089,194.87782,431.71622,415.64368,867.55811,0,0,85
1.4160377,2.1641119,3604.9866,415.61639,3311.9285,198.59261,198.81718,420.31985,416.93307,896.03564,0,0,86
1.7165614,2.1867299,3727.0479,476.71152,3312.4688,185.74715,181.77428,412.84576,411.6312,856.06726,0,0,87
1.6127187,2.0736432,3786.7822,453.10767,3311.7415,189.66658,186.02745,409.45636,413.37793,794.06464,0,1,88
1.6400537,2.0660579,3676.3103,459.35654,3312.2449,182.61925,178.6824,405.96701,429.05991,791.78687,0,1,89
1.2684176,2.2213256,3814.5684,452.59052,3311.5359,187.27573,195.4456,414.48193,427.37656,805.76166,0,0,90
1.5685093,1.89542,3775.3833,465.19312,3312.2351,185.82713,177.7522,431.7052,426.29086,740.50146,0,0,91
1.5485736,2.2756808,3676.0789,453.43478,3311.6602,195.83388,187.3318,405.70999,389.26028,853.37231,0,0,92
1.455459,2.282979,3597.3591,415.19638,3311.6577,192.68634,198.4774,423.74915,432.58838,852.79578,0,0,93
1.5193733,2.3268616,3712.8894,456.54279,3312.1948,172.30634,185.06476,415.69601,438.28586,736.80927,0,1,94
1.9206429,2.2581255,3522.052,481.23364,3311.7407,180.1644,195.00833,428.84738,415.7836,721.7395,0,0,95
1.5914775,2.3714168,3847.104,436.3096,3311.7781,187.62901,195.33305,423.29541,439.68286,843.74945,0,0,96
1.3020197,2.2929957,3610.8738,482.10196,3311.8523,182.62418,183.1489,429.05188,422.65488,824.43286,0,0,97
1.3672484,2.1001899,3680.8745,513.82733,3312.0376,187.58182,185.52104,427.87582,415.41016,856.1554,0,1,98
1.5748364,2.068027,3459.0168,423.96939,3311.7522,180.02448,187.73181,410.03342,413.95123,842.66376,0,1,99
1.3489105,2.5159738,3654.5828,495.2569,3311.7671,179.01814,186.80333,401.237,410.62747,690.65747,0,1,100
1.5214354,2.0036988,3576.4182,451.98132,3311.8284,185.73505,203.35529,424.79739,416.55023,864.27191,0,0,101
1.8256811,2.3421764,3614.2861,429.96857,3311.781,191.58299,197.27487,429.15894,407.39017,912.75623,0,1,102
1.9870378,2.2936139,3723.3809,422.47223,3311.9492,192.81944,186.08664,436.52689,408.96231,830.11865,0,1,103
1.4535862,2.1939883,3477.6182,410.5459,3311.8403,173.88683,186.07092,429.24213,396.12396,859.87769,0,1,104
1.5481787,2.3397963,3761.3406,517.16168,3312.0425,176.86751,182.33325,451.49255,421.8334,707.05591,0,0,105
1.3082558,2.170594,3677.5037,439.01596,3311.7175,173.38103,175.19814,426.0065,424.60083,813.56085,0,0,106
1.3960843,2.4762707,3674.2566,448.63361,3311.9207,175.0522,190.39227,437.74316,415.96622,815.698,0,1,107
1.3141793,2.4806263,3626.1211,408.13333,3312.2444,191.01329,186.05901,412.45203,392.12628,828.66821,0,0,108
1.6032637,2.0996251,3690.3875,495.19867,3312.0605,172.58852,172.9527,424.06934,428.59363,810.58722,0,0,109
1.3678426,2.4315255,3535.0388,473.61441,3311.895,187.78764,180.31453,408.63391,423.85971,871.9101,0,0,110
1.3998926,2.244128,3722.9155,374.88092,3311.9583,188.12144,178.92752,433.54617,431.4942,713.27637,0,1,111
1.5923281,2.0844171,3522.5967,444.05679,3312.3108,169.84782,180.62857,425.19531,402.64752,715.96295,0,1,112
1.6319627,2.207566,3580.217,428.62601,3312.238,182.39581,182.15419,418.86722,428.69388,865.40479,0,1,113
1.5752686,2.0540586,3698.8062,403.12689,3311.8936,196.23215,188.63828,416.04022,421.04108,817.38873,0,1,114
1.480024,2.0273006,3790.8779,465.35071,3312.0151,181.01079,186.29984,408.89743,418.74188,804.73914,0,0,115
1.5777019,2.1682236,3757.4155,499.45441,3312.3062,181.13699,188.6602,416.68304,424.84509,778.25891,0,0,116
1.7273582,2.4523735,3658.4902,486.68002,3312.1387,187.66528,180.54491,437.45166,406.43237,821.37146,0,1,117
1.5568631,2.0518508,3746.0513,462.46643,3312.1748,169.23622,195.62563,423.26086,399.87561,809.39899,0,0,118
1.1415366,2.1258905,3782.2051,457.21033,3312.1426,168.11827,194.43999,429.27222,457.76407,830.5141,0,0,119
1.5543467,2.3111889,3677.8511,437.29172,3311.8264,182.84612,185.59628,440.32489,433.66028,859.71875,0,1,120
1.591224,2.336129,3680.708,504.81168,3312.1643,186.10619,194.24878,431.94489,419.01355,727.85242,0,0,121
1.46306,2.1835482,3775.9021,417.47873,3312.1797,172.85986,181.16286,413.97919,452.00851,817.29205,0,0,122
1.5199949,2.2037508,3511.5757,494.13242,3311.9434,187.41679,176.87878,430.97693,436.37521,859.17242,0,0,123
1.4249969,2.1166103,3831.0071,430.0498,3312.1226,188.82922,185.79982,422.55316,414.33258,793.05835,0,1,124
1.3222944,2.0406342,3465.5127,381.61972,3312.2544,187.7514,191.49477,424.97565,403.20074,849.5025,0,0,125
1.4288298,2.3716729,3781.3555,466.08124,3312.5164,176.96626,185.18977,417.07855,393.96689,850.63495,0,0,126
1.5643777,2.5638244,3392.53,444.32718,3311.8896,174.61584,180.71896,419.18762,409.40784,852.49127,0,1,127
1.6191022,1.954075,3742.4158,426.77298,3311.7397,192.68483,187.60072,414.90659,413.36896,803.76367,0,1,128
1.8335954,2.1372526,3766.6179,402.21149,3311.8442,187.77197,183.45174,431.09961,431.95456,801.85333,0,0,129
1.2093933,2.1965833,3828.9604,432.31403,3312.4333,188.75688,197.15872,415.3082,428.55637,846.77856,0,0,130
1.7126667,2.2982955,3813.4207,418.41974,3311.8914,174.66737,192.38235,429.95322,436.23938,820.12476,0,1,131
1.2565532,2.2428322,3623.8059,488.45679,3312.3999,183.09909,179.11987,436.71991,433.88107,822.71887,0,0,132
1.7271268,2.3476431,3551.1453,480.65344,3311.5894,181.02957,193.09822,412.65448,432.40903,788.83154,0,0,133
1.5328019,2.1908402,3670.2498,446.53354,3312.2239,185.28365,181.1133,447.66748,431.72345,869.53876,0,1,134
1.4312038,2.2716231,3731.967,495.48682,3312.1267,182.84599,181.91562,420.28848,425.10138,782.0332,0,0,135
1.4601772,2.161727,3561.2927,427.86481,3311.9893,188.18747,182.15704,445.70911,403.70535,791.06689,0,0,136
2.014672,2.2923937,3714.8674,407.45071,3311.7964,179.45642,203.23213,438.56332,415.61154,794.77051,0,0,137
1.4096082,2.4843614,3733.9478,462.86618,3311.925,188.94447,185.66539,426.91019,419.1188,790.9743,0,0,138
1.5125179,2.3504496,3791.8201,419.03836,3312.1833,181.0201,197.89131,435.90485,435.75504,845.18695,0,0,139
